name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Catena Brigitte,Catena Brigitte,1976-01-01,French female name.,7.650300000000000,27.492963439368101,18.495359322403999,"Catena, catenae",CA,Adopted by IAU,27.378942489623999,27.606985092163100,18.430402755737301,18.560316085815401,France,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1057
Catena Sylvester,Catena Sylvester,1976-01-01,Named from nearby crater.,139.000000000000000,276.882236642917974,79.989784939494996,"Catena, catenae",CA,Adopted by IAU,270.121671676636026,282.737813949585018,78.044073104858398,82.066274642944293,Great Britain,Europe,Brianchon,LAC-9,http://planetarynames.wr.usgs.gov/Feature/1071
Catena Abulfeda,Catena Abulfeda,1976-01-01,Named from nearby crater.,209.972000000000008,16.700132415052600,-16.591157518947501,"Catena, catenae",CA,Adopted by IAU,13.620561599731399,19.678888320922901,-18.552341461181602,-14.786891937255900,Syria,Asia,Rupes Altai,LAC-96,http://planetarynames.wr.usgs.gov/Feature/1055
Catena Artamonov,Catena Artamonov,1976-01-01,Named from nearby crater.,131.215000000000003,105.771818801999999,26.091608680000000,"Catena, catenae",CA,Adopted by IAU,104.247396469115998,107.296243667602994,24.411264419555700,27.771955490112301,Soviet,Europe,Joliot,LAC-46,http://planetarynames.wr.usgs.gov/Feature/1056
Catena Davy,Catena Davy,1976-01-01,Named from nearby crater.,52.336100000000002,353.734424345262994,-10.984739060771799,"Catena, catenae",CA,Adopted by IAU,352.905443191527979,354.495302200316985,-11.258619308471699,-10.551465988159199,Great Britain,Europe,Ptolemaeus,LAC-77,http://planetarynames.wr.usgs.gov/Feature/1058
Catena Dziewulski,Catena Dziewulski,1976-01-01,Named from nearby crater.,80.659400000000005,100.269208899819006,18.775628048417602,"Catena, catenae",CA,Adopted by IAU,99.385389328002901,101.241239547728995,17.826883316040000,19.815427780151399,Poland,Europe,Joliot,LAC-46,http://planetarynames.wr.usgs.gov/Feature/1059
Catena Gregory,Catena Gregory,1976-01-01,Named from nearby crater.,148.157999999999987,129.802518496331999,-0.591886513842497,"Catena, catenae",CA,Adopted by IAU,128.311429977416992,131.294488906860011,-2.526634216308590,1.343542098999020,Scotland,Europe,Langemak,LAC-83,http://planetarynames.wr.usgs.gov/Feature/1060
Catena Humboldt,Catena Humboldt,1976-01-01,Named from nearby crater.,162.288000000000011,84.696989256000094,-21.980935567999900,"Catena, catenae",CA,Adopted by IAU,82.577230453491197,86.505334854126005,-23.775691986083999,-19.889265060424801,Germany,Europe,Humboldt,LAC-99,http://planetarynames.wr.usgs.gov/Feature/1061
Catena Krafft,Catena Krafft,1976-01-01,Named from nearby crater.,55.105400000000003,287.749741745359984,14.913554278198299,"Catena, catenae",CA,Adopted by IAU,287.559385299683015,287.940103530884016,14.023736953735400,15.803373336791999,Germany,Europe,Vasco da Gama,LAC-55,http://planetarynames.wr.usgs.gov/Feature/1062
Catena Kurchatov,Catena Kurchatov,1976-01-01,Named from nearby crater.,234.913000000000011,136.603346789010999,37.246545224027500,"Catena, catenae",CA,Adopted by IAU,131.989889144897006,140.829160690307987,35.226236343383803,38.145776748657198,Soviet,Europe,Campbell,LAC-31,http://planetarynames.wr.usgs.gov/Feature/1063
