name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Montanari,Montanari,1/1/1935,"Geminiano; Italian astronomer, mathematician (1633-1687).",77.0541,339.244931,-45.82822035,"Crater, craters",AA,Adopted by IAU,337.4519482,341.0379162,-46.95655632,-44.54006386,Italy,Europe,Wilhelm,LAC-111,http://planetarynames.wr.usgs.gov/Feature/4001
Zeeman,Zeeman,1/1/1970,Pieter; Dutch physicist; Nobel laureate (1865-1943).,186.556,224.9387035,-75.06821505,"Crater, craters",AA,Adopted by IAU,212.8794918,236.9974613,-78.14424896,-71.99224663,The Netherlands (Dutch),Europe,Zeeman,LAC-142,http://planetarynames.wr.usgs.gov/Feature/6711
Bürg,Burg,1/1/1935,Johann Tobias; Austrian astronomer (1766-1834).,41.0423,28.20813393,45.07339079,"Crater, craters",AA,Adopted by IAU,27.27300835,29.14326286,44.45453453,45.6966114,Austria,Europe,Eudoxus,LAC-26,http://planetarynames.wr.usgs.gov/Feature/948
Carlos,Carlos,1/1/1976,Spanish male name.,4.66924,2.283174344,24.90746541,"Crater, craters",AA,Adopted by IAU,2.251062393,2.310552597,24.84307671,24.99179268,Spain,Europe,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/1019
C. Herschel,C  Herschel,1/1/1935,Caroline Lucretia; British astronomer (1750-1848).,13.7014,328.7050503,34.48152678,"Crater, craters",AA,Adopted by IAU,328.4549122,328.9990101,34.25601768,34.70702934,Great Britain,Europe,Sinus Iridum,LAC-24,http://planetarynames.wr.usgs.gov/Feature/950
Calippus,Calippus,1/1/1935,Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).,34.0326,10.71750449,38.92489092,"Crater, craters",AA,Adopted by IAU,10.06195259,11.33496666,38.3472805,39.46087074,Greek,Europe,Eudoxus,LAC-26,http://planetarynames.wr.usgs.gov/Feature/972
Carol,Carol,1/1/1979,Latin female name.,6.25379,122.3684779,8.47924564,"Crater, craters",AA,Adopted by IAU,122.2642269,122.4727306,8.376127243,8.582365036,Latin,Europe,Ostwald,LAC-65,http://planetarynames.wr.usgs.gov/Feature/1024
Daniell,Daniell,1/1/1935,"John Frederick; British physicist, chemist, meteorologist (1790-1845).",28.204,31.16447922,35.42010959,"Crater, craters",AA,Adopted by IAU,30.66895103,31.63620186,34.96792793,35.87212181,Great Britain,Europe,Eudoxus,LAC-26,http://planetarynames.wr.usgs.gov/Feature/1400
De Vico,De Vico,1/1/1935,Francesco; Italian astronomer (1805-1848).,22.1343,299.6811411,-19.71141219,"Crater, craters",AA,Adopted by IAU,299.2934361,300.068922,-20.02849388,-19.404953,Italy,Europe,Byrgius,LAC-92,http://planetarynames.wr.usgs.gov/Feature/1448
Eudoxus,Eudoxus,1/1/1935,Greek astronomer (c. 408-355 B.C.).,70.1567,16.22565115,44.26556669,"Crater, craters",AA,Adopted by IAU,14.8596859,17.87983894,43.11002922,45.41988945,Greek,Europe,Eudoxus,LAC-26,http://planetarynames.wr.usgs.gov/Feature/1863
Ewen,Ewen,1/1/1979,Gaelic male name.,2.60314,121.4604253,7.690340631,"Crater, craters",AA,Adopted by IAU,121.4171124,121.5037403,7.647417068,7.733263016,Ireland,Europe,Ostwald,LAC-65,http://planetarynames.wr.usgs.gov/Feature/1891
Fedorov,Fedorov,1/1/1979,A.P.; Russian rocket scientist (1872-1920).,6.07683,322.953757,28.22654942,"Crater, craters",AA,Adopted by IAU,322.8856106,323.0441761,28.12773323,28.32536125,Russia,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/1928
Florensky,Florensky,1/1/1985,Kirill Pavlovich; Soviet geologist (1915-1982).,69.0305,131.8507735,25.45167266,"Crater, craters",AA,Adopted by IAU,130.8711491,132.8304005,24.32153511,26.58595085,Soviet,Europe,Mare Moscoviense,LAC-48,http://planetarynames.wr.usgs.gov/Feature/1984
Franklin,Franklin,1/1/1935,Benjamin; American inventor (1706-1790).,55.9204,47.63968293,38.72879483,"Crater, craters",AA,Adopted by IAU,46.49982262,48.84471703,37.77881813,39.69922447,American,North America,Geminus,LAC-27,http://planetarynames.wr.usgs.gov/Feature/2014
Freud,Freud,1/1/1973,Sigmund; Austrian psychoanalyst (1856-1939).,2.84585,307.6014995,25.79317194,"Crater, craters",AA,Adopted by IAU,307.5493832,307.6536198,25.74624825,25.84009743,Austria,Europe,Seleucus,LAC-38,http://planetarynames.wr.usgs.gov/Feature/2022
Gagarin,Gagarin,1/1/1970,Yury Alekseyevich; Soviet cosmonaut (1934-1968).,261.83,149.35407,-19.65762847,"Crater, craters",AA,Adopted by IAU,144.7690372,153.9391041,-23.97493362,-15.34032059,Soviet,Europe,Gagarin,LAC-102,http://planetarynames.wr.usgs.gov/Feature/2054
Harding,Harding,1/1/1935,Karl Ludwig; German astronomer (1765-1834).,22.5737,288.343829,43.54006368,"Crater, craters",AA,Adopted by IAU,287.8039875,288.8220539,43.16792107,43.92315865,Germany,Europe,Lavoisier,LAC-22,http://planetarynames.wr.usgs.gov/Feature/2362
Hermite,Hermite,1/1/1964,Charles; French mathematician (1822-1901).,108.638,266.6848222,86.16594413,"Crater, craters",AA,Adopted by IAU,238.8137493,294.5558987,84.37461281,87.9572773,France,Europe,Peary,LAC-1,http://planetarynames.wr.usgs.gov/Feature/2471
Harkhebi,Harkhebi,1/1/1979,Egyptian astronomer (c. 300 B.C.).,337.136,98.74485613,40.8704801,"Crater, craters",AA,Adopted by IAU,92.93897057,104.5983295,35.34169579,46.35859871,Egypt,Africa,Fabry,LAC-29,http://planetarynames.wr.usgs.gov/Feature/2365
Heron (Hero),Heron  Hero,1/1/1976,Egyptian inventor (unkn-c. 100 B.C.).,28.1012,119.8770955,0.652547972,"Crater, craters",AA,Adopted by IAU,119.4297581,120.3244343,0.23780632,1.061098099,Egypt,Africa,Ostwald,LAC-65,http://planetarynames.wr.usgs.gov/Feature/2476
