name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Dorsa Harker,Dorsa Harker,1976-01-01,"Alfred; British petrologist (1859-1939).",213.143000000000001,63.651957359122498,13.789515950965100,"Dorsum, dorsa",DO,Adopted by IAU,60.643388748168903,66.009645462036104,11.691606521606399,16.547208786010700,Great Britain,Europe,Mare Undarum,LAC-62,http://planetarynames.wr.usgs.gov/Feature/1596
Dorsa Cato,Dorsa Cato,1976-01-01,"Marcus Porcius; Roman geological engineer (234-149 B.C.).",128.635999999999996,47.700502643999997,0.213115364000089,"Dorsum, dorsa",DO,Adopted by IAU,46.604974746704102,49.599313735961900,-1.164592742919920,2.232637405395510,Roman,Europe,Taruntius,LAC-61,http://planetarynames.wr.usgs.gov/Feature/1592
Dorsum Oppel,Dorsum Oppel,1976-01-01,"Albert; German paleontologist (1831-1865).",297.617999999999995,52.086928419000103,19.313864835000100,"Dorsum, dorsa",DO,Adopted by IAU,51.797201156616197,56.156892776489300,14.687334060668899,22.028253555297901,Germany,Europe,Cleomedes,LAC-44,http://planetarynames.wr.usgs.gov/Feature/1619
Dorsum Owen,Dorsum Owen,1976-01-01,"George; British Earth scientist (1552-1613).",33.468699999999998,11.094288012000000,25.139362464000001,"Dorsum, dorsa",DO,Adopted by IAU,11.089803695678700,11.129545211791999,24.588418960571300,25.682619094848601,Great Britain,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1620
Dorsum Scilla,Dorsum Scilla,1976-01-01,"Agostino; Italian geologist (1639-1700).",107.519999999999996,300.004242954133019,32.344232519421702,"Dorsum, dorsa",DO,Adopted by IAU,298.786252975463981,300.855512619019009,30.733598709106399,33.652956008911097,Italy,Europe,Rümker,LAC-23,http://planetarynames.wr.usgs.gov/Feature/1621
Dorsa Smirnov,Dorsa Smirnov,1976-01-01,"Sergei Sergeevich; Soviet Earth scientist (1895-1947).",221.783999999999992,25.529441690999999,26.408200016000102,"Dorsum, dorsa",DO,Adopted by IAU,24.127939224243200,25.561853408813501,23.093610763549801,29.972635269165000,Soviet,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1600
Dorsum Thera,Dorsum Thera,1976-01-01,Greek female name.,7.245040000000000,328.577476951109986,24.402877925580100,"Dorsum, dorsa",DO,Adopted by IAU,328.526803970337028,328.618143081664982,24.288923263549801,24.512266159057599,Greek,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/1623
Dorsa Sorby,Dorsa Sorby,1976-01-01,"Henry Clifton; British Earth scientist (1826-1908).",76.025599999999997,13.699306563122500,18.647528976883301,"Dorsum, dorsa",DO,Adopted by IAU,12.525506973266600,14.982778549194300,18.444799423217798,19.235525131225600,Great Britain,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1601
Dorsa Stille,Dorsa Stille,1976-01-01,"Hans; German Earth scientist (1876-1966).",66.320400000000006,341.145519228317028,26.907936371897801,"Dorsum, dorsa",DO,Adopted by IAU,339.969831466674975,342.336244583129996,26.605943679809599,27.007421493530298,Germany,Europe,Timocharis,LAC-40,http://planetarynames.wr.usgs.gov/Feature/1602
Dorsum Buckland,Dorsum Buckland,1976-01-01,"William; British Earth scientist (1784-1856).",369.125000000000000,14.299471804727100,19.432895378381499,"Dorsum, dorsa",DO,Adopted by IAU,9.395906448364260,20.820676803588899,18.310167312622099,23.165689468383800,Great Britain,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1608
Dorsum Cushman,Dorsum Cushman,1976-01-01,"Joseph Augustine; American micropaleontologist (1881-1949).",85.651499999999999,49.193464752501200,1.417099585002260,"Dorsum, dorsa",DO,Adopted by IAU,48.075899124145501,50.343931198120103,0.695234298706055,2.260950088500980,American,North America,Taruntius,LAC-61,http://planetarynames.wr.usgs.gov/Feature/1611
Dorsum Gast,Dorsum Gast,1973-01-01,"Paul Werner; American geochemist, geologist (1930-1973).",64.869699999999995,8.706792268000070,24.375280595000000,"Dorsum, dorsa",DO,Adopted by IAU,8.684019088745121,8.994039535522459,23.311395645141602,25.409997940063501,American,North America,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/1612
Dorsa Tetyaev,Dorsa Tetyaev,1979-01-01,"Mikhail Mikhailovich; Soviet geologist (1882-1956).",187.526000000000010,64.064031144000097,20.024959376000101,"Dorsum, dorsa",DO,Adopted by IAU,62.024938583374002,65.475915908813505,17.222814559936499,22.421262741088899,Soviet,Europe,Cleomedes,LAC-44,http://planetarynames.wr.usgs.gov/Feature/1603
Dorsum Cayeux,Dorsum Cayeux,1976-01-01,"Lucien; French sedimentary petrographer (1864-1944).",95.135300000000001,51.220367762000102,0.762790124000048,"Dorsum, dorsa",DO,Adopted by IAU,50.921598434448200,52.000410079956097,-0.598220825195312,2.112874984741210,France,Europe,Mare Undarum,LAC-62,http://planetarynames.wr.usgs.gov/Feature/1609
Dorsum Cloos,Dorsum Cloos,1976-01-01,"Hans; German Earth scientist (1885-1951).",103.087000000000003,90.409978619571405,1.149489041314320,"Dorsum, dorsa",DO,Adopted by IAU,90.387132644653306,91.144296646118207,-0.267940521240234,2.576299667358400,Germany,Europe,Babcock,LAC-64,http://planetarynames.wr.usgs.gov/Feature/1610
Dorsum Heim,Dorsum Heim,1976-01-01,"Albert; Swiss Earth scientist (1849-1937).",146.786000000000001,330.166484910015981,32.196052292460500,"Dorsum, dorsa",DO,Adopted by IAU,328.624933242798022,332.073080062865984,30.524610519409201,34.122781753540004,Switzerland,Europe,Sinus Iridum,LAC-24,http://planetarynames.wr.usgs.gov/Feature/1615
Dorsum Higazy,Dorsum Higazy,1976-01-01,"Riad Abdel-Megid; Egyptian Earth scientist (1919-1967).",63.099899999999998,342.534494940000002,27.931434774000099,"Dorsum, dorsa",DO,Adopted by IAU,342.446706771850984,343.483884811401026,26.934148788452099,28.387266159057599,Egypt,Africa,Timocharis,LAC-40,http://planetarynames.wr.usgs.gov/Feature/1616
Dorsum Bucher,Dorsum Bucher,1976-01-01,"Walter Herman; American geologist (1889-1965).",84.651399999999995,320.449678361999986,30.763348754999999,"Dorsum, dorsa",DO,Adopted by IAU,320.351449966431005,320.809858322144009,29.493631362915000,32.158201217651403,Switzerland,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/1607
Dorsa Barlow,Dorsa Barlow,1976-01-01,"William; British crystallographer (1845-1934).",112.575000000000003,30.567332479772400,14.043945794139599,"Dorsum, dorsa",DO,Adopted by IAU,29.363981246948200,31.607877731323200,12.675325393676800,15.523347854614300,Great Britain,Europe,Taruntius,LAC-61,http://planetarynames.wr.usgs.gov/Feature/1589
Dorsum Arduino,Dorsum Arduino,1976-01-01,"Giovanni; Italian Earth scientist (1713-1795).",99.732299999999995,323.734793045162974,24.773443106116400,"Dorsum, dorsa",DO,Adopted by IAU,323.529447555541992,324.980386734009016,23.741800308227500,26.277654647827099,Italy,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/1605
Dorsum Azara,Dorsum Azara,1976-01-01,"Felix De; Spanish Earth scientist (1746-1811).",103.195999999999998,19.166419007999998,26.860561282999999,"Dorsum, dorsa",DO,Adopted by IAU,18.662958145141602,20.358198165893601,25.711454391479499,28.522287368774400,Spain,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1606
Dorsa Dana,Dorsa Dana,1976-01-01,"James Dwight; American Earth scientist (1813-1895).",82.311899999999994,89.595195241000098,2.262317931000040,"Dorsum, dorsa",DO,Adopted by IAU,88.342058181762695,90.530633926391602,2.089529037475590,3.203569412231450,American,North America,Neper,LAC-63,http://planetarynames.wr.usgs.gov/Feature/1593
Dorsum Nicol,Dorsum Nicol,1976-01-01,"William; Scottish physicist (1768-1851).",43.742300000000000,22.662427428000100,18.321718716000099,"Dorsum, dorsa",DO,Adopted by IAU,22.493360519409201,22.885290145873999,17.643918991088899,18.991769790649400,Scotland,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1617
Dorsa Ewing,Dorsa Ewing,1976-01-01,"William Maurice; American geophysicist (1906-1974).",261.564999999999998,321.685166833698986,-11.061003089987400,"Dorsum, dorsa",DO,Adopted by IAU,318.961545944213981,325.700693130492994,-12.571336746215801,-7.651760101318360,American,North America,Letronne,LAC-75,http://planetarynames.wr.usgs.gov/Feature/1594
Dorsum Niggli,Dorsum Niggli,1976-01-01,"Paul; Swiss Earth scientist (1888-1953).",47.752299999999998,307.722092970000006,29.005617550000100,"Dorsum, dorsa",DO,Adopted by IAU,306.953264236450025,308.501859664916992,28.634359359741200,29.413438796997099,Switzerland,Europe,Seleucus,LAC-38,http://planetarynames.wr.usgs.gov/Feature/1618
Dorsa Geikie,Dorsa Geikie,1976-01-01,"Sir Archibald; Scottish geologist (1835-1924).",218.352000000000004,52.828535391000102,-4.205726249999940,"Dorsum, dorsa",DO,Adopted by IAU,51.141771316528299,53.480638504028299,-7.228422164916990,-0.827144622802734,Scotland,Europe,Langrenus,LAC-80,http://planetarynames.wr.usgs.gov/Feature/1595
Dorsum Zirkel,Dorsum Zirkel,1976-01-01,"Ferdinand; German geologist, mineralogist (1838-1912).",195.217000000000013,335.181315889000018,29.546786102000102,"Dorsum, dorsa",DO,Adopted by IAU,332.551385879516999,337.670755386352994,27.148569107055700,31.792367935180700,Germany,Europe,Timocharis,LAC-40,http://planetarynames.wr.usgs.gov/Feature/1625
