name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Wessex Cleft,Wessex Cleft,1973-01-01,"Astronaut-named feature, Apollo 17 site.",3.492600000000000,30.891545915993198,20.343011528197600,Landing site name,LF,Adopted by IAU,30.891545915993198,30.891545915993198,20.343011528197600,20.343011528197600,Great Britain,Europe,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/6524
Middle Crescent,Middle Crescent,1973-01-01,"Astronaut-named feature, Apollo 12 site.",0.363000000000000,-23.435400000000001,-3.003200000000000,Landing site name,LF,Adopted by IAU,336.560079031636008,336.571695870734004,-3.008711835761280,-2.998063066582620,American,North America,,,http://planetarynames.wr.usgs.gov/Feature/3885
Surveyor,Surveyor,1973-01-01,"Astronaut-named feature, Apollo 12 site.",0.205000000000000,-23.420000000000002,-3.016000000000000,Landing site name,LF,Adopted by IAU,336.573557582217006,336.579366001772996,-3.012268859973140,-3.005492370495760,American,North America,,,http://planetarynames.wr.usgs.gov/Feature/5773
Cone,Cone,1973-01-01,"Astronaut-named feature, Apollo 14 site.",0.333000000000000,342.566413785962027,-3.624801634747130,Landing site name,LF,Adopted by IAU,342.559153354967975,342.573674403852010,-3.631094090257010,-3.618509181227590,American,North America,Montes Riphaeus,LAC-76,http://planetarynames.wr.usgs.gov/Feature/1287
Triplet,Triplet,1973-01-01,"Astronaut-named feature, Apollo 14 site.",0.321900000000000,-17.466799999999999,-3.650700000000000,Landing site name,LF,Adopted by IAU,342.526194370580015,342.540715419450009,-3.654580749731270,-3.641027770776530,American,North America,,,http://planetarynames.wr.usgs.gov/Feature/6086
Flag,Flag,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.243000000000000,15.449067432001200,-8.972762087182661,Landing site name,LF,Adopted by IAU,15.444785368483700,15.453302439875801,-8.976767928135081,-8.968756246230210,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/1970
North Ray,North Ray,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.947300000000000,15.484278477118600,-8.815144996510851,Landing site name,LF,Adopted by IAU,15.469130734653300,15.501282011763999,-8.830763778553150,-8.799451275844319,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/4342
Palmetto,Palmetto,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.760500000000000,15.497161975991400,-8.921781790132430,Landing site name,LF,Adopted by IAU,15.484419743179000,15.511774026902000,-8.934321549633131,-8.909242030631670,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/4561
Plum,Plum,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.027900000000000,15.452139790873000,-8.976394616195600,Landing site name,LF,Adopted by IAU,15.451681178175400,15.452623444733700,-8.976855041900251,-8.975934135978321,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/4763
Hess-Apollo,Hess Apollo,1973-01-01,"Astronaut-named feature, Apollo 17 site.",0.636600000000000,30.745403913253600,20.093138864271300,Landing site name,LF,Adopted by IAU,30.735920489793699,30.754887501521200,20.082786732922600,20.103491018821600,American,North America,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/2491
Taurus-Littrow Valley,Taurus Littrow Valley,1973-01-01,"Astronaut-named feature, Apollo 17 site.",21.027699999999999,30.786690681670699,20.070162515994902,Landing site name,LF,Adopted by IAU,30.415942859536500,31.130970891788500,19.749606034229000,20.336143172166100,American,North America,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/5881
Scarp,Scarp,1973-01-01,"Astronaut-named feature, Apollo 17 site.",14.756800000000000,30.585984219294900,20.293051020055799,Landing site name,LF,Adopted by IAU,30.585984219294900,30.585984219294900,20.293051020055799,20.293051020055799,American,North America,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/5359
Bench,Bench,1973-01-01,"Astronaut-named feature, Apollo 12 site.",0.180000000000000,-23.429800000000000,-3.019800000000000,Landing site name,LF,Adopted by IAU,336.570261521215002,336.574133800914979,-3.021983269544480,-3.019079059768520,American,North America,,,http://planetarynames.wr.usgs.gov/Feature/686
Flank,Flank,1973-01-01,"Astronaut-named feature, Apollo 14 site.",0.038300000000000,-17.439699999999998,-3.636900000000000,Landing site name,LF,Adopted by IAU,342.559206218271015,342.560575275888993,-3.634755878906670,-3.633386821288930,American,North America,,,http://planetarynames.wr.usgs.gov/Feature/1975
End,End,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.064600000000000,15.512970815675400,-8.910730106637480,Landing site name,LF,Adopted by IAU,15.511817952420699,15.514147206751600,-8.911795074110159,-8.909665139164700,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/1797
Baby Ray,Baby Ray,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.172900000000000,15.423845026191300,-9.083595863007931,Landing site name,LF,Adopted by IAU,15.421256965823400,15.426809531703400,-9.086445267562400,-9.080746458453460,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/536
Cinco,Cinco,1973-01-01,"Astronaut-named feature, Apollo 16 site.",0.072900000000000,15.516395048459600,-9.099995541949950,Landing site name,LF,Adopted by IAU,15.515101018275701,15.517618495179001,-9.101197294235700,-9.098793789664230,American,North America,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/1217
