name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Mare Australe,Mare Australe,1935-01-01,"""Southern Sea.""",996.840000000000032,91.985363718558403,-47.770529265198697,"Mare, maria",ME,Adopted by IAU,70.433118820190401,113.363332748413001,-64.195346832275405,-31.837930679321300,Latin,Europe,Mare Australe,LAC-116,http://planetarynames.wr.usgs.gov/Feature/3665
Mare Spumans,Mare Spumans,1935-01-01,"""Foaming Sea.""",143.132000000000005,65.303272672000006,1.302304884000080,"Mare, maria",ME,Adopted by IAU,63.613428115844698,66.732904434204102,-1.061803817749020,3.722482681274410,Latin,Europe,Mare Undarum,LAC-62,http://planetarynames.wr.usgs.gov/Feature/3690
Mare Fecunditatis,Mare Fecunditatis,1935-01-01,"""Sea of Fecundity.""",840.354000000000042,53.669148726000103,-7.834974466999940,"Mare, maria",ME,Adopted by IAU,40.770692825317397,63.339544296264599,-21.695199966430700,6.111688613891600,Latin,Europe,Langrenus,LAC-80,http://planetarynames.wr.usgs.gov/Feature/3673
Mare Humboldtianum,Mare Humboldtianum,1935-01-01,"Humboldt, Alexander von; German natural historian (1769-1859).",230.782000000000011,81.542834414000097,56.922095552000101,"Mare, maria",ME,Adopted by IAU,74.745248794555707,88.489507675170898,53.652925491333001,60.017068862915004,Germany,Europe,Belkovich,LAC-15,http://planetarynames.wr.usgs.gov/Feature/3676
Mare Humorum,Mare Humorum,1935-01-01,"""Sea of Moisture.""",419.668999999999983,321.428394647000005,-24.478459705999899,"Mare, maria",ME,Adopted by IAU,314.174226760863974,329.389524459838981,-31.059396743774400,-18.437410354614300,Latin,Europe,Mare Humorum,LAC-93,http://planetarynames.wr.usgs.gov/Feature/3677
Mare Marginis,Mare Marginis,1935-01-01,"""Sea of the Edge.""",357.632000000000005,86.515294255000100,12.701879385000000,"Mare, maria",ME,Adopted by IAU,81.150800704956097,93.352819442748995,9.811273574829100,18.591558456420898,Latin,Europe,Neper,LAC-63,http://planetarynames.wr.usgs.gov/Feature/3681
Mare Moscoviense,Mare Moscoviense,1961-01-01,"""Sea of Muscovy.""",275.569999999999993,148.122479064999993,27.281589339000000,"Mare, maria",ME,Adopted by IAU,143.412191390991012,153.260618209839009,22.954244613647500,31.497438430786101,Latin,Europe,Mare Moscoviense,LAC-48,http://planetarynames.wr.usgs.gov/Feature/3682
Mare Nectaris,Mare Nectaris,1935-01-01,"""Sea of Nectar.""",339.387000000000000,34.602054138000099,-15.185168061999899,"Mare, maria",ME,Adopted by IAU,28.751470565795898,39.678094863891602,-21.058614730835000,-9.904996871948240,Latin,Europe,Colombo,LAC-79,http://planetarynames.wr.usgs.gov/Feature/3683
Mare Serenitatis,Mare Serenitatis,1935-01-01,"""Sea of Serenity.""",674.278000000000020,18.359644420000102,27.287884701999999,"Mare, maria",ME,Adopted by IAU,6.588159561157230,29.924287796020501,16.133169174194300,37.809206008911097,Latin,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/3686
Mare Smythii,Mare Smythii,1935-01-01,"Smyth, William Henry; British astronomer (1788-1865).",373.964999999999975,87.049470546000094,-1.708755470999960,"Mare, maria",ME,Adopted by IAU,80.940538406372099,92.718599319457994,-7.455524444580080,4.495634078979490,Great Britain,Europe,Ansgarius,LAC-81,http://planetarynames.wr.usgs.gov/Feature/3689
Mare Anguis,Mare Anguis,1935-01-01,"""Serpent Sea.""",145.985999999999990,67.575270145000005,22.426799376000101,"Mare, maria",ME,Adopted by IAU,65.698965072631793,69.949987411498995,20.145967483520501,24.736085891723601,Latin,Europe,Cleomedes,LAC-44,http://planetarynames.wr.usgs.gov/Feature/3664
Mare Ingenii,Mare Ingenii,1961-01-01,"""Sea of Cleverness.""",282.204000000000008,164.826818972000012,-33.245795069999900,"Mare, maria",ME,Adopted by IAU,158.553354263306005,169.851552963257006,-37.422378540039098,-28.536428451538100,Latin,Europe,Mare Ingenii,LAC-119,http://planetarynames.wr.usgs.gov/Feature/3679
