name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Mons Ampère,Mons Ampere,1935-01-01,"André-Marie; French physicist (1775-1836).",29.958700000000000,356.290477980551998,19.323887245689100,"Mons, montes",MO,Adopted by IAU,355.937860488891999,356.702383041382006,18.929491043090799,19.815366744995099,France,Europe,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/3971
Mons Dilip,Mons Dilip,1976-01-01,Indian male name.,1.368930000000000,120.866579339226007,5.582618937946390,"Mons, montes",MO,Adopted by IAU,120.844114303588995,120.887395858765004,5.562570571899410,5.602849960327150,India,Asia,Ostwald,LAC-65,http://planetarynames.wr.usgs.gov/Feature/3978
Mons Gruithuisen Delta,Mons Gruithuisen Delta,1976-01-01,Named from nearby crater.,27.242899999999999,320.410140938720019,36.067817322461998,"Mons, montes",MO,Adopted by IAU,319.949716567992994,320.910089492798022,35.655729293823200,36.552267074584996,Germany,Europe,Rümker,LAC-23,http://planetarynames.wr.usgs.gov/Feature/3981
Mons Gruithuisen Gamma,Mons Gruithuisen Gamma,1976-01-01,Named from nearby crater.,19.652500000000000,319.278715151451991,36.558483750820699,"Mons, montes",MO,Adopted by IAU,318.879411697387980,319.674451828002987,36.181936264038100,36.942171096801800,Germany,Europe,Rümker,LAC-23,http://planetarynames.wr.usgs.gov/Feature/3982
Mons Usov,Mons Usov,1979-01-01,"Mikhail Antonovich; Soviet geologist (1883-1939).",13.226699999999999,63.263630781396500,11.908045372363800,"Mons, montes",MO,Adopted by IAU,63.098768234252901,63.425436019897496,11.690080642700201,12.153131484985400,Soviet,Europe,Mare Undarum,LAC-62,http://planetarynames.wr.usgs.gov/Feature/3995
Mons Vinogradov,Mons Vinogradov,1979-01-01,"Aleksandr Pavlovich; Soviet geochemist and cosmochemist (1895-1975).",28.734000000000002,327.481018529636003,22.349669000119398,"Mons, montes",MO,Adopted by IAU,327.010290145874023,328.044424057007006,21.916875839233398,22.807119369506800,Soviet,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/3996
Montes Haemus,Montes Haemus,1961-01-01,Named for range in the Balkans.,384.663000000000011,12.030781388572301,17.107147471674299,"Mons, montes",MO,Adopted by IAU,4.662656784057620,21.138963699340799,14.077650070190399,23.163717269897500,Bulgaria,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/4009
Montes Harbinger,Montes Harbinger,1961-01-01,Harbingers of dawn on crater Aristarchus.,92.696200000000005,318.709863730849008,26.892333520353901,"Mons, montes",MO,Adopted by IAU,317.473615646362020,319.653596878051985,25.557394027710000,28.471223831176800,Latin,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/4010
Montes Pyrenaeus,Montes Pyrenaeus,1961-01-01,Named from terrestrial Pyrenees.,251.332999999999998,41.509702241615997,-14.047984383356100,"Mons, montes",MO,Adopted by IAU,39.555902481079102,42.965219497680700,-18.185710906982401,-10.213161468505900,Spain,Europe,Colombo,LAC-79,http://planetarynames.wr.usgs.gov/Feature/4012
Montes Jura,Montes Jura,1961-01-01,Named from terrestrial Jura Mountains.,420.795999999999992,323.888996383537972,47.493528939838797,"Mons, montes",MO,Adopted by IAU,322.228059768676985,332.361001968384016,41.059717178344698,48.681074142456097,Germany,Europe,Sinus Iridum,LAC-24,http://planetarynames.wr.usgs.gov/Feature/4011
