name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Rima Sung-Mei,Rima Sung Mei,1985-01-01,"Chinese female name; part of Aratus CA.",3.875760000000000,11.284225666085799,24.587807481686198,"Rima, rimae",RI,Adopted by IAU,11.230924606323200,11.331975936889600,24.548597335815401,24.634721755981399,China,Asia,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/5084
Rima Siegfried,Rima Siegfried,1976-01-01,German male name.,13.958299999999999,103.006710858527995,-25.821998482058401,"Rima, rimae",RI,Adopted by IAU,102.932920455933001,103.127500534058001,-26.058872222900401,-25.598392486572301,Germany,Europe,Hilbert,LAC-100,http://planetarynames.wr.usgs.gov/Feature/5082
Rimae Sosigenes,Rimae Sosigenes,1964-01-01,Named from nearby crater.,130.000000000000000,18.717906688311000,8.080298387123600,"Rima, rimae",RI,Adopted by IAU,18.351453781127901,19.532411575317401,5.592012405395510,10.177083969116200,Greek,Europe,Julius Caesar,LAC-60,http://planetarynames.wr.usgs.gov/Feature/5142
Rima Agatharchides,Rima Agatharchides,1964-01-01,Named from nearby crater.,54.250999999999998,331.435666838220982,-20.378424861337500,"Rima, rimae",RI,Adopted by IAU,330.995046615600984,331.904470443725984,-21.148719787597699,-19.602331161498999,Greek,Europe,Pitatus,LAC-94,http://planetarynames.wr.usgs.gov/Feature/5037
Rima Archytas,Rima Archytas,1964-01-01,Named from nearby crater.,90.182299999999998,2.998543218256310,53.628575913670403,"Rima, rimae",RI,Adopted by IAU,1.034479141235350,4.424222946166990,52.284841537475600,54.540697097778299,Greek,Europe,Plato,LAC-12,http://planetarynames.wr.usgs.gov/Feature/5039
Rima Réaumur,Rima Reaumur,1964-01-01,Named from nearby crater.,30.664300000000001,2.466185582646170,-2.838280158900290,"Rima, rimae",RI,Adopted by IAU,2.026308059692380,2.878114700317380,-3.126338958740230,-2.587858200073240,France,Europe,Ptolemaeus,LAC-77,http://planetarynames.wr.usgs.gov/Feature/5078
Rima Carmen,Rima Carmen,1976-01-01,Spanish female name.,15.019900000000000,29.297963802944899,19.954796240618599,"Rima, rimae",RI,Adopted by IAU,29.151674270629901,29.379690170288100,19.682298660278299,20.188024520873999,Spain,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/5048
Rima Ariadaeus,Rima Ariadaeus,1961-01-01,Named from nearby crater.,247.449000000000012,13.438116207182800,6.475180684165070,"Rima, rimae",RI,Adopted by IAU,9.528890609741209,17.474401473998999,4.869985580444340,7.669549942016600,Latin,Europe,Julius Caesar,LAC-60,http://planetarynames.wr.usgs.gov/Feature/5040
Rima Billy,Rima Billy,1964-01-01,Named from nearby crater.,69.821299999999994,311.959306876750020,-14.740664849962901,"Rima, rimae",RI,Adopted by IAU,311.283559799193995,312.675401687622013,-15.570924758911101,-13.856155395507800,France,Europe,Letronne,LAC-75,http://planetarynames.wr.usgs.gov/Feature/5042
Rima Messier,Rima Messier,1964-01-01,Named from nearby crater.,74.217799999999997,44.545445574753700,-0.756472718684208,"Rima, rimae",RI,Adopted by IAU,43.356904983520501,45.580511093139599,-1.560729980468750,0.015069961547852,France,Europe,Colombo,LAC-79,http://planetarynames.wr.usgs.gov/Feature/5073
Rima Zahia,Rima Zahia,1976-01-01,Arabic female name.,15.242200000000000,329.544363243772011,25.020889366786800,"Rima, rimae",RI,Adopted by IAU,329.506719589233001,329.638128280639989,24.789358139038100,25.251249313354499,Arabian,Asia,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/5089
Rima Birt,Rima Birt,1964-01-01,Named from nearby crater.,54.183000000000000,350.718921497974975,-21.403404287971000,"Rima, rimae",RI,Adopted by IAU,350.279630661011026,350.878694534301985,-22.312482833862301,-20.651433944702099,Great Britain,Europe,Purbach,LAC-95,http://planetarynames.wr.usgs.gov/Feature/5043
Rima Gärtner,Rima Gartner,1964-01-01,Within crater.,42.727400000000003,35.765403881032299,58.844495746516799,"Rima, rimae",RI,Adopted by IAU,34.870500564575202,36.527334213256800,58.426492691040004,59.461664199829102,Germany,Europe,Aristoteles,LAC-13,http://planetarynames.wr.usgs.gov/Feature/5063
Rimae Hase,Rimae Hase,1985-01-01,Named from nearby crater.,257.235999999999990,67.780624795400300,-34.708432653056498,"Rima, rimae",RI,Adopted by IAU,63.734586715698200,71.046907424926800,-36.668617248535199,-32.054761886596701,Germany,Europe,Furnerius,LAC-115,http://planetarynames.wr.usgs.gov/Feature/6898
Rimae Arzachel,Rimae Arzachel,1964-01-01,Within crater.,57.000000000000000,358.616811472449001,-18.307717684719101,"Rima, rimae",RI,Adopted by IAU,358.146589279174975,359.075689315796012,-19.317173004150401,-17.337821960449201,Spain,Europe,Purbach,LAC-95,http://planetarynames.wr.usgs.gov/Feature/5095
