name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Marco Polo P,Marco Polo P,1/1/2006,Italian explorer (1254-1324).,28.0621,359.681517,16.96734857,Satellite Feature,SF,Adopted by IAU,359.1977482,360.1642889,16.50463676,17.43006325,Italy,Europe,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/11150
Guericke S,Guericke S,1/1/2006,"Otto von; German physicist, engineer, naturalist (1602-1686).",10.1894,346.6010185,-10.35689146,Satellite Feature,SF,Adopted by IAU,346.4716969,346.7298679,-10.52975082,-10.19424629,Germany,Europe,Montes Riphaeus,LAC-76,http://planetarynames.wr.usgs.gov/Feature/9606
Apollonius L,Apollonius L,1/1/2006,Apollonius of Perga; Greek mathematician (c. 262-190 B.C.).,10.1233,54.56681741,6.471043922,Satellite Feature,SF,Adopted by IAU,54.39906502,54.73459053,6.333215714,6.630338669,Greek,Europe,Mare Undarum,LAC-62,http://planetarynames.wr.usgs.gov/Feature/7311
Adams B,Adams B,1/1/2006,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,31.328,65.70067364,-31.5429447,Satellite Feature,SF,Adopted by IAU,65.09632301,66.30603981,-31.97911644,-31.05340195,American,North America,Petavius,LAC-98,http://planetarynames.wr.usgs.gov/Feature/7076
Al-Khwarizmi G,Al Khwarizmi G,1/1/2006,Abū Ja'far Muhammad Ibn Mūsā; Iraqi mathematician (unkn-after 847).,102.832,107.3456639,6.755925531,Satellite Feature,SF,Adopted by IAU,105.8858662,108.8054638,5.193517685,8.30585289,Iraq,Asia,Babcock,LAC-64,http://planetarynames.wr.usgs.gov/Feature/7131
Alden E,Alden E,1/1/2006,Harold Lee; American astronomer (1890-1964).,26.3692,112.8051745,-23.41777524,Satellite Feature,SF,Adopted by IAU,112.3971577,113.1990376,-23.83175278,-22.96324921,American,North America,Fermi,LAC-101,http://planetarynames.wr.usgs.gov/Feature/7156
Alexander K,Alexander K,1/1/2006,"Alexander the Great, of Macedon; Greek geographer (356-323 B.C.).",3.9548,19.34965292,40.52136283,Satellite Feature,SF,Adopted by IAU,19.26791573,19.43445015,40.45615578,40.58657265,Greek,Europe,Eudoxus,LAC-26,http://planetarynames.wr.usgs.gov/Feature/7163
Aliacensis K,Aliacensis K,1/1/2006,"D'Ailly, Pierre; French geographer (1350-1420).",5.64688,6.258897221,-31.42892769,Satellite Feature,SF,Adopted by IAU,6.146799088,6.365045547,-31.51965904,-31.33343697,France,Europe,Purbach,LAC-95,http://planetarynames.wr.usgs.gov/Feature/7183
Hayford P,Hayford P,1/1/2006,"John Fillmore; American civil engineer, geodesist (1868-1925).",20.9046,182.2629683,11.00942723,Satellite Feature,SF,Adopted by IAU,181.9207973,182.6155987,10.71300697,11.30073357,American,North America,Sharonov,LAC-68,http://planetarynames.wr.usgs.gov/Feature/9753
Fourier P,Fourier P,1/1/2006,Jean-Baptiste Joseph; French mathematician (1768-1830).,9.61917,304.9269247,-31.11562206,Satellite Feature,SF,Adopted by IAU,304.7908154,305.0442295,-31.28416824,-30.97364807,France,Europe,Byrgius,LAC-92,http://planetarynames.wr.usgs.gov/Feature/9173
Bridgman C,Bridgman C,1/1/2006,Percy Williams; American physicist; Nobel laureate (1882-1961).,40.4358,140.4018252,46.56809602,Satellite Feature,SF,Adopted by IAU,139.4680157,141.4025211,46.04265022,47.07295799,American,North America,Campbell,LAC-31,http://planetarynames.wr.usgs.gov/Feature/7947
Maskelyne Y,Maskelyne Y,1/1/2006,Nevil; British astronomer (1732-1811).,4.27393,28.16081938,1.729458326,Satellite Feature,SF,Adopted by IAU,28.09031487,28.23132515,1.658987045,1.79993248,Great Britain,Europe,Julius Caesar,LAC-60,http://planetarynames.wr.usgs.gov/Feature/11217
Avicenna E,Avicenna E,1/1/2006,Abu Ali Al-Hussein Ibn Abdallah; Persian doctor (980-1037).,25.6444,268.7494864,40.19474088,Satellite Feature,SF,Adopted by IAU,268.1967335,269.2789173,39.7902317,40.57340431,Persian,Asia,Lorentz,LAC-36,http://planetarynames.wr.usgs.gov/Feature/7435
Barbier K,Barbier K,1/1/2006,Daniel; French astronomer (1907-1965).,13.2483,159.2015021,-26.28827574,Satellite Feature,SF,Adopted by IAU,158.95788,159.4451199,-26.41816902,-26.15838051,France,Europe,O'Day,LAC-103,http://planetarynames.wr.usgs.gov/Feature/7540
Barocius C,Barocius C,1/1/2006,Francesco; Italian mathematician (1537-1604).,35.8403,17.47759957,-43.1070071,Satellite Feature,SF,Adopted by IAU,16.66844368,18.28647423,-43.62229156,-42.58722496,Italy,Europe,Maurolycus,LAC-113,http://planetarynames.wr.usgs.gov/Feature/7546
Bayer S,Bayer S,1/1/2006,Johann; German astronomer (1572-1625).,15.4356,323.5528562,-52.32560844,Satellite Feature,SF,Adopted by IAU,323.1520672,323.958704,-52.57988358,-52.0712738,Germany,Europe,Schiller,LAC-125,http://planetarynames.wr.usgs.gov/Feature/7591
Birkhoff M,Birkhoff M,1/1/2006,George David; American mathematician (1884-1944).,25.3292,214.9376673,54.50164329,Satellite Feature,SF,Adopted by IAU,214.5242367,215.2547321,54.03412437,54.84789848,American,North America,Birkhoff,LAC-19,http://planetarynames.wr.usgs.gov/Feature/7737
Bolyai W,Bolyai W,1/1/2006,Janos; Hungarian mathematician (1802-1860).,53.0283,124.4160667,-32.04761918,Satellite Feature,SF,Adopted by IAU,123.3967876,125.4349117,-32.84338951,-31.29808807,Hungary,Europe,Milne,LAC-117,http://planetarynames.wr.usgs.gov/Feature/7819
Boscovich P,Boscovich P,1/1/2006,Rudjer J.; Italian physicist (1711-1787).,64.8228,10.30889031,11.4687888,Satellite Feature,SF,Adopted by IAU,9.518346786,10.93157768,10.60802269,12.39765358,Italy,Europe,Julius Caesar,LAC-60,http://planetarynames.wr.usgs.gov/Feature/7862
Briggs A,Briggs A,1/1/2006,Henry; British mathematician (1561-1630).,25.1331,286.221001,27.12483126,Satellite Feature,SF,Adopted by IAU,285.8200855,286.6124439,26.71531105,27.52432823,Great Britain,Europe,Russell,LAC-37,http://planetarynames.wr.usgs.gov/Feature/7950
Brown E,Brown E,1/1/2006,"Ernest William; British astronomer, mathematician (1866-1938).",23.1873,342.3711297,-46.85889338,Satellite Feature,SF,Adopted by IAU,341.8399372,342.9142628,-47.23365593,-46.48412514,Great Britain,Europe,Wilhelm,LAC-111,http://planetarynames.wr.usgs.gov/Feature/7965
Buch E,Buch E,1/1/2006,Christian Leopold von; German geologist (1774-1853).,8.31281,16.50253695,-38.97651871,Satellite Feature,SF,Adopted by IAU,16.38118553,16.62389183,-39.1114502,-38.84257126,Germany,Europe,Maurolycus,LAC-113,http://planetarynames.wr.usgs.gov/Feature/7976
