name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Sinus Lunicus,Sinus Lunicus,1970-01-01,"""Lunik Bay""-landing area of Luna (Lunik) 2.",119.174999999999997,358.148870060894012,32.364054802757003,"Sinus, sinūs",SI,Adopted by IAU,355.823675155639989,360.395551132202002,30.987253189086900,33.847852706909201,Latin,Europe,Cassini,LAC-25,http://planetarynames.wr.usgs.gov/Feature/5566
Sinus Aestuum,Sinus Aestuum,1935-01-01,"""Seething Bay.""",316.499000000000024,351.660448972055974,12.097616797950099,"Sinus, sinūs",SI,Adopted by IAU,348.042665481566985,355.737768173218001,7.596139907836910,15.708345413208001,Latin,Europe,Mare Vaporum,LAC-59,http://planetarynames.wr.usgs.gov/Feature/5558
Sinus Roris,Sinus Roris,1935-01-01,"""Bay of Dew.""",195.042000000000002,309.141246497518978,50.261281587820797,"Sinus, sinūs",SI,Adopted by IAU,303.411050796509016,313.455167770386026,47.612230300903299,52.471117019653299,Latin,Europe,Pythagoras,LAC-10,http://planetarynames.wr.usgs.gov/Feature/5569
Sinus Successus,Sinus Successus,1979-01-01,"""Bay of Success.""",126.650999999999996,58.519762877779897,1.124212185373540,"Sinus, sinūs",SI,Adopted by IAU,56.519365310668903,60.188062667846701,-0.860759735107422,2.871923446655270,Latin,Europe,Mare Undarum,LAC-62,http://planetarynames.wr.usgs.gov/Feature/5571
Sinus Amoris,Sinus Amoris,1976-01-01,"""Bay of Love.""",189.102000000000004,37.289311365604100,19.920287483805499,"Sinus, sinūs",SI,Adopted by IAU,35.423593521118200,41.511911392211900,16.890794754028299,22.921377182006800,Latin,Europe,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/5559
Sinus Asperitatis,Sinus Asperitatis,1976-01-01,"""Bay of Roughness.""",219.139000000000010,27.488461350813498,-5.411897923568550,"Sinus, sinūs",SI,Adopted by IAU,23.548070907592798,30.771272659301800,-8.947031021118161,-2.284595489501950,Latin,Europe,Theophilus,LAC-78,http://planetarynames.wr.usgs.gov/Feature/5561
Sinus Concordiae,Sinus Concordiae,1976-01-01,"""Bay of Harmony.""",159.026999999999987,42.472339272139997,10.978963645625001,"Sinus, sinūs",SI,Adopted by IAU,40.467065811157198,45.583257675170898,9.898771286010740,12.488973617553700,Latin,Europe,Taruntius,LAC-61,http://planetarynames.wr.usgs.gov/Feature/5562
Sinus Fidei,Sinus Fidei,1976-01-01,"""Bay of Trust.""",70.699299999999994,2.037911087180760,17.992063941910601,"Sinus, sinūs",SI,Adopted by IAU,1.277044296264650,3.004983901977540,17.096632003784201,19.323114395141602,Latin,Europe,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/5563
Sinus Honoris,Sinus Honoris,1976-01-01,"""Bay of Honor.""",111.608999999999995,17.865789381419400,11.719547651018200,"Sinus, sinūs",SI,Adopted by IAU,15.486761093139600,19.264062881469702,9.924463272094730,13.263109207153301,Latin,Europe,Julius Caesar,LAC-60,http://planetarynames.wr.usgs.gov/Feature/5564
Sinus Iridum,Sinus Iridum,1935-01-01,"""Bay of Rainbows.""",249.289999999999992,328.334717977135995,45.010100031114597,"Sinus, sinūs",SI,Adopted by IAU,323.624452590941985,334.181200027465991,40.531560897827099,48.005125045776403,Latin,Europe,Sinus Iridum,LAC-24,http://planetarynames.wr.usgs.gov/Feature/5565
Sinus Medii,Sinus Medii,1935-01-01,"""Bay of the center.""",286.673999999999978,1.026917104811190,1.633665377377350,"Sinus, sinūs",SI,Adopted by IAU,356.628934860230004,365.550630020142023,-2.047931671142580,4.641061782836970,Latin,Europe,Mare Vaporum,LAC-59,http://planetarynames.wr.usgs.gov/Feature/5567
