name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Vallis Krishna,Vallis Krishna,1976-01-01,"Indian male name, part of Aratus CA.",2.896130000000000,11.263211495178901,24.502298373223301,"Vallis, valles",VA,Adopted by IAU,11.212358474731399,11.315217971801800,24.497224807739300,24.514017105102500,India,Asia,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/3121
Vallis Rheita,Vallis Rheita,1961-01-01,Named from nearby crater.,509.071000000000026,51.654037083017897,-42.512563619783201,"Vallis, valles",VA,Adopted by IAU,44.492834091186502,59.263936996459996,-48.694997787475600,-36.239171981811502,Czechoslovakia,Europe,Rheita,LAC-114,http://planetarynames.wr.usgs.gov/Feature/6298
Vallis Schrödinger,Vallis Schrodinger,1970-01-01,Named from nearby crater.,301.714999999999975,104.880752923809993,-66.518491999525295,"Vallis, valles",VA,Adopted by IAU,99.119272232055707,111.403459548949996,-70.267070770263700,-61.665763854980497,Austria,Europe,Schrödinger,LAC-140,http://planetarynames.wr.usgs.gov/Feature/6299
Vallis Alpes,Vallis Alpes,1961-01-01,"""Alpine Valley.""",155.417000000000002,3.631380845118370,49.208780303907901,"Vallis, valles",VA,Adopted by IAU,0.363134384155273,6.950338363647460,47.793699264526403,50.521162033081097,Switzerland,Europe,Plato,LAC-12,http://planetarynames.wr.usgs.gov/Feature/6290
Vallis Baade,Vallis Baade,1964-01-01,Named from nearby crater.,206.788999999999987,282.770172959573983,-45.553348169171500,"Vallis, valles",VA,Adopted by IAU,280.086866378784009,285.244813919066985,-48.659519195556598,-42.815109252929702,Germany,Europe,Vallis Inghirami,LAC-109,http://planetarynames.wr.usgs.gov/Feature/6291
Vallis Bohr,Vallis Bohr,1976-01-01,Named from nearby crater.,95.321899999999999,271.138121915867998,10.248944060338401,"Vallis, valles",VA,Adopted by IAU,271.121740341186978,271.189672470093001,8.684350967407230,11.755060195922900,Denmark,Europe,Vasco da Gama,LAC-55,http://planetarynames.wr.usgs.gov/Feature/6292
Vallis Bouvard,Vallis Bouvard,1970-01-01,"Alexis; French astronomer, mathematician (1767-1843).",287.923999999999978,277.679615071884996,-38.449661352946201,"Vallis, valles",VA,Adopted by IAU,275.245294570923022,279.209856033325025,-42.189956665039098,-35.028169631958001,France,Europe,Vallis Inghirami,LAC-109,http://planetarynames.wr.usgs.gov/Feature/6293
Vallis Capella,Vallis Capella,1984-01-01,Named from nearby crater.,106.280000000000001,35.038471639769000,-7.391784269822610,"Vallis, valles",VA,Adopted by IAU,33.784727096557603,36.227167129516602,-8.694559097290041,-6.003454208374020,Romania (Rumania),Europe,Colombo,LAC-79,http://planetarynames.wr.usgs.gov/Feature/6294
Vallis Inghirami,Vallis Inghirami,1964-01-01,Named from nearby crater.,145.084000000000003,287.410347547890979,-43.947023348125597,"Vallis, valles",VA,Adopted by IAU,284.759695053100984,290.060998916625977,-45.392227172851598,-42.501817703247099,Italy,Europe,Vallis Inghirami,LAC-109,http://planetarynames.wr.usgs.gov/Feature/6295
Vallis Palitzsch,Vallis Palitzsch,1964-01-01,Named from nearby crater.,110.498000000000005,64.637389778851897,-26.163498793992101,"Vallis, valles",VA,Adopted by IAU,64.418527603149400,64.887235641479506,-27.983272552490199,-24.393178939819300,Germany,Europe,Petavius,LAC-98,http://planetarynames.wr.usgs.gov/Feature/6296
Vallis Planck,Vallis Planck,1970-01-01,Named from nearby crater.,502.899000000000001,126.155869395508006,-57.264891465885597,"Vallis, valles",VA,Adopted by IAU,124.172086715698001,129.322336196898988,-65.283163070678697,-49.309354782104499,Germany,Europe,Fechner,LAC-130,http://planetarynames.wr.usgs.gov/Feature/6297
Vallis Christel,Vallis Christel,1976-01-01,"German female name, part of Aratus CA.",2.100180000000000,11.081438155053901,24.544103760758599,"Vallis, valles",VA,Adopted by IAU,11.043798446655300,11.119077682495099,24.540216445922901,24.547990798950199,Germany,Europe,Mare Serenitatis,LAC-42,http://planetarynames.wr.usgs.gov/Feature/1200
Vallis Schröteri,Vallis Schroteri,1961-01-01,Schröter's Valley.,185.323000000000008,308.419475889947023,26.155526028996299,"Vallis, valles",VA,Adopted by IAU,306.372838973999023,310.716543197632006,24.157045364379901,26.323015213012699,Germany,Europe,Seleucus,LAC-38,http://planetarynames.wr.usgs.gov/Feature/6300
Vallis Snellius,Vallis Snellius,1964-01-01,Named from nearby crater.,640.000000000000000,57.838197109385597,-30.926210141549301,"Vallis, valles",VA,Adopted by IAU,47.027463912963903,69.351411819457994,-34.164463043212898,-26.081026077270501,The Netherlands (Dutch),Europe,Petavius,LAC-98,http://planetarynames.wr.usgs.gov/Feature/6301
