Grid Points_Entries,Latitude,Longitude,Altitude
0,44.45528680625024°,-89.90864695869548°,-2292.4298922612174
1,44.45528680625024°,-89.89864695869548°,-2317.758058847269
2,44.45528680625024°,-89.88864695869549°,-2343.0862165860276
3,44.45528680625024°,-89.87864695869548°,-2368.4142070857474
4,44.45528680625024°,-89.86864695869549°,-2376.5766032745814
5,44.45528680625024°,-89.85864695869549°,-2374.49835930477
6,44.45528680625024°,-89.84864695869548°,-2372.4201565447815
7,44.45528680625024°,-89.83864695869549°,-2370.341961085685
8,44.45528680625024°,-89.82864695869549°,-2368.2637368340697
9,44.45528680625024°,-89.8186469586955°,-2366.185485764165
10,44.45528680625024°,-89.80864695869549°,-2364.1072747974717
11,44.46528680625024°,-89.90864695869548°,-2116.2522931218905
12,44.46528680625024°,-89.89864695869548°,-2141.0110070039013
13,44.46528680625024°,-89.88864695869549°,-2165.7695468635065
14,44.46528680625024°,-89.87864695869548°,-2190.5280353333183
15,44.46528680625024°,-89.86864695869549°,-2198.5652328498313
16,44.46528680625024°,-89.85864695869549°,-2196.626902198522
17,44.46528680625024°,-89.84864695869548°,-2194.688567807073
18,44.46528680625024°,-89.83864695869549°,-2192.7501905442455
19,44.46528680625024°,-89.82864695869549°,-2190.811833801843
20,44.46528680625024°,-89.8186469586955°,-2188.87353894458
21,44.46528680625024°,-89.80864695869549°,-2186.9352102187004
22,44.47528680625024°,-89.90864695869548°,-1940.8034539710793
23,44.47528680625024°,-89.89864695869548°,-1964.978428294833
24,44.47528680625024°,-89.88864695869549°,-1989.1533066534232
25,44.47528680625024°,-89.87864695869548°,-2013.3282556651673
26,44.47528680625024°,-89.86864695869549°,-2021.2432711556155
27,44.47528680625024°,-89.85864695869549°,-2019.4579056748976
28,44.47528680625024°,-89.84864695869548°,-2017.6726351975924
29,44.47528680625024°,-89.83864695869549°,-2015.8872411033567
30,44.47528680625024°,-89.82864695869549°,-2014.101908059625
31,44.47528680625024°,-89.8186469586955°,-2012.316666871917
32,44.47528680625024°,-89.80864695869549°,-2010.5312550094125
33,44.485286806250244°,-89.90864695869548°,-1839.2996369308803
34,44.485286806250244°,-89.89864695869548°,-1861.4597867478435
35,44.485286806250244°,-89.88864695869549°,-1883.619993809781
36,44.485286806250244°,-89.87864695869548°,-1905.7797389167874
37,44.485286806250244°,-89.86864695869549°,-1913.8722720711974
38,44.485286806250244°,-89.85864695869549°,-1913.5723801053784
39,44.485286806250244°,-89.84864695869548°,-1913.2728727611643
40,44.485286806250244°,-89.83864695869549°,-1912.9730656488782
41,44.485286806250244°,-89.82864695869549°,-1912.673203157831
42,44.485286806250244°,-89.8186469586955°,-1912.3735930899684
43,44.485286806250244°,-89.80864695869549°,-1912.0738812798825
44,44.49528680625024°,-89.90864695869548°,-1737.9700247635622
45,44.49528680625024°,-89.89864695869548°,-1758.112136578067
46,44.49528680625024°,-89.88864695869549°,-1778.2538711723546
47,44.49528680625024°,-89.87864695869548°,-1798.3952296383754
48,44.49528680625024°,-89.86864695869549°,-1806.6658898306748
49,44.49528680625024°,-89.85864695869549°,-1807.8548565036758
50,44.49528680625024°,-89.84864695869548°,-1809.0441335693304
51,44.49528680625024°,-89.83864695869549°,-1810.232957249971
52,44.49528680625024°,-89.82864695869549°,-1811.4218889853578
53,44.49528680625024°,-89.8186469586955°,-1812.6111579035257
