Grid Points_Entries,Latitude,Longitude,Altitude,Origin
0,70.56487469634952,-174.7295295517897,-2614.5795629415993,true
1,70.56487469634952,-174.7295295517897,-2614.5795629415993,false
2,70.51487469634952,-174.77952955178972,-2483.319745321714,false
3,70.51487469634952,-174.76952955178973,-2482.170565997756,false
4,70.51487469634952,-174.7595295517897,-2481.0154781096485,false
5,70.51487469634952,-174.74952955178972,-2479.854481667999,false
6,70.51487469634952,-174.7395295517897,-2478.881757402796,false
7,70.51487469634952,-174.7295295517897,-2478.273545993138,false
8,70.51487469634952,-174.71952955178972,-2477.659485996786,false
9,70.51487469634952,-174.7095295517897,-2477.0395774193316,false
10,70.51487469634952,-174.6995295517897,-2476.4138202673353,false
11,70.51487469634952,-174.6895295517897,-2473.640763327055,false
12,70.51487469634952,-174.6795295517897,-2469.463729180584,false
13,70.52487469634953,-174.77952955178972,-2510.122607844761,false
14,70.52487469634953,-174.76952955178973,-2508.9734139606835,false
15,70.52487469634953,-174.7595295517897,-2507.8183114204476,false
16,70.52487469634953,-174.74952955178972,-2506.850999717038,false
17,70.52487469634953,-174.7395295517897,-2506.2486517408297,false
18,70.52487469634953,-174.7295295517897,-2505.6404550787806,false
19,70.52487469634953,-174.71952955178972,-2505.0264097376426,false
20,70.52487469634953,-174.7095295517897,-2504.406515723395,false
21,70.52487469634953,-174.6995295517897,-2503.780773042404,false
22,70.52487469634953,-174.6895295517897,-2501.007713379286,false
23,70.52487469634953,-174.6795295517897,-2496.8306652525225,false
24,70.53487469634952,-174.77952955178972,-2536.872620436004,false
25,70.53487469634952,-174.76952955178973,-2535.723412026142,false
26,70.53487469634952,-174.7595295517897,-2534.7615131574653,false
27,70.53487469634952,-174.74952955178972,-2534.1650288232204,false
28,70.53487469634952,-174.7395295517897,-2533.5626957059194,false
29,70.53487469634952,-174.7295295517897,-2532.9545138103827,false
30,70.53487469634952,-174.71952955178972,-2532.3404831437488,false
31,70.53487469634952,-174.7095295517897,-2531.720603711996,false
32,70.53487469634952,-174.6995295517897,-2531.0948755211057,false
33,70.53487469634952,-174.6895295517897,-2528.3218132200222,false
34,70.53487469634952,-174.6795295517897,-2524.1447512398886,false
35,70.54487469634952,-174.77952955178972,-2563.5697806509475,false
36,70.54487469634952,-174.76952955178973,-2562.6132948884,false
37,70.54487469634952,-174.7595295517897,-2562.022674405791,false
38,70.54487469634952,-174.74952955178972,-2561.4262050411717,false
39,70.54487469634952,-174.7395295517897,-2560.8238868011013,false
40,70.54487469634952,-174.7295295517897,-2560.2157196915596,false
41,70.54487469634952,-174.71952955178972,-2559.601703718525,false
42,70.54487469634952,-174.7095295517897,-2558.98183888875,false
43,70.54487469634952,-174.6995295517897,-2558.356125207828,false
44,70.54487469634952,-174.6895295517897,-2555.583060352493,false
45,70.54487469634952,-174.6795295517897,-2551.4059846461046,false
46,70.55487469634951,-174.77952955178972,-2590.406342082653,false
