Intersections_Entries,Longitude,Latitude,Altitude,Origin
0,-7.657703352143302,5.8872144160011635,-802.5967142827799,true
1,-7.657703478064967,5.887213758609757,5.0,false
2,-7.6436461809788065,5.840364008756011,-799.2004141966679,false
3,-7.640147562985992,5.8433321307857975,-799.70822284857,false
4,-7.636781006355815,5.845376767250829,-799.574491890596,false
5,-7.632597272972449,5.845377001161823,-797.4820634428208,false
6,-7.628413551032684,5.845377204155366,-795.3804723534544,false
7,-7.624229840591366,5.845377376231711,-793.26971866879,false
8,-7.620046141703719,5.8453775173915306,-791.149802437822,false
9,-7.615862454424082,5.845377627634445,-789.020723707037,false
10,-7.643646044240835,5.8450491390770365,-802.7412307923489,false
11,-7.639890577618005,5.847142240123677,-802.4548808412254,false
12,-7.635438134819994,5.847142509893292,-800.2350085646743,false
13,-7.630985704936776,5.847142744632066,-798.0047589404977,false
14,-7.626533288033882,5.84714294434052,-795.7641320248265,false
15,-7.622080884176359,5.847143109018527,-793.5131278743706,false
16,-7.617628493430134,5.847143238667024,-791.2517465466113,false
17,-7.613176115859999,5.847143333285694,-788.9799880978723,false
18,-7.643426995484136,5.8491500227772235,-805.7224674215355,false
19,-7.638668957339649,5.849150336411177,-803.3586759068363,false
20,-7.633910933885854,5.849150610022718,-800.9830337458937,false
21,-7.629152925201515,5.849150843611994,-798.595541008149,false
22,-7.62439493136549,5.849151037179376,-796.1961977607267,false
23,-7.619636952456627,5.849151190725238,-793.7850040736469,false
24,-7.614878988554251,5.8491513042503716,-791.3619600153853,false
25,-7.610121039736564,5.849151377754512,-788.9270656561539,false
26,-7.6403075496023005,5.876343505390869,-799.3047328090299,false
27,-7.640176271739353,5.877478616404359,-798.6914181710727,false
28,-7.640069814314573,5.87839911120141,-798.1935559503976,false
29,-7.640689785129945,5.875873439381862,-799.8350112887025,false
30,-7.640473421688423,5.877370157151828,-798.990090751536,false
31,-7.640307503257056,5.87851791086205,-798.3413459118725,false
32,-7.640176229888331,5.879426001549846,-797.827561473989,false
33,-7.640069776167007,5.8801623990404925,-797.4105914019157,false
34,-7.640983655158245,5.877183922607845,-799.5028162745856,false
35,-7.641405988670341,5.874992663771433,-800.8280869270445,false
36,-7.640689726210901,5.878708949962926,-798.5789262119189,false
37,-7.640473369827138,5.879831492977145,-797.8980530479053,false
38,-7.640307456956446,5.880692312095271,-797.3754587375068,false
39,-7.640069738055735,5.881925684089431,-796.6259826632106,false
40,-7.640176188077365,5.881373383293933,-796.9616993346827,false
41,-7.641405908016963,5.879066904200406,-799.0238285644003,false
42,-7.640983587064626,5.880527757856349,-798.018782888336,false
43,-7.640689667348347,5.881544453307668,-797.3185893656147,false
44,-7.640473318015871,5.8822928233459795,-796.8028116709579,false
45,-7.640307410699405,5.882866709067176,-796.4070713025212,false
46,-7.640069699981191,5.883688966334036,-795.8397297443125,false
47,-7.64017614630646,5.883320761618711,-796.0938317668489,false
48,-7.641405827441535,5.883141129627368,-797.210792109436,false
49,-7.64068960854159,5.884379949373645,-796.0540007860537,false
50,-7.640983519036374,5.883871582989604,-796.5288366634903,false
51,-7.640473266254,5.884754148227599,-795.704366645963,false
52,-7.640307364487269,5.88504110175524,-795.4361836263982,false
53,-7.640069661943169,5.885452245759881,-795.0518326566023,false
54,-7.6401761045753815,5.88526813650623,-795.2239587836038,false
55,-7.641405746943135,5.887215339952072,-795.3889776582117,false
56,-7.6406895497920075,5.88721543811887,-794.7851605094988,false
57,-7.640473214542148,5.887215467591619,-794.6027179978031,false
58,-7.6409834510738905,5.88721539794529,-795.0329776559867,false
59,-7.640307318319234,5.887215490136276,-794.4627957268832,false
60,-7.702223203249556,5.8916688829892525,-785.2146588868499,false
61,-7.6977708615272,5.891668875877825,-787.2768187932379,false
62,-7.64017606288436,5.887215507938659,-794.3520803996075,false
63,-7.6400696239414385,5.887215522352621,-794.2622914101099,false
64,-7.693318497864832,5.89166883340817,-789.3286078196072,false
65,-7.688866112410824,5.891668755579967,-791.37002580528,false
66,-7.6853908013979115,5.891831510058352,-792.882863068448,false
67,-7.641405666521747,5.891289535074981,-793.5583853069791,false
68,-7.640983383175998,5.890559202661083,-793.5312059219563,false
69,-7.640689491098232,5.890050919500907,-793.5120685722135,false
70,-7.640473162879403,5.88967678140752,-793.4978657505894,false
71,-7.640307272195581,5.889389874187357,-793.4869076213364,false
72,-7.696060643718267,5.894888522724085,-786.6127505669177,false
73,-7.640176021233411,5.889162875898081,-793.4781966277836,false
74,-7.640069585975997,5.888978796097983,-793.4711060156374,false
75,-7.692224533440048,5.894888483319237,-788.377723797989,false
76,-7.688388406920491,5.894888417628229,-790.1349983556037,false
77,-7.685390923030837,5.895127947901844,-791.3943585335043,false
78,-7.68539097257233,5.896446520048689,-790.7973474039195,false
79,-7.641405586177851,5.8953637148963205,-791.7190151527617,false
80,-7.640983315343492,5.893902997074822,-792.0235215186872,false
81,-7.640473111266664,5.892138089644791,-792.3898099307481,false
82,-7.640689432461296,5.892886393477421,-792.2347250108469,false
83,-7.640307226116025,5.891564253885564,-792.5085193290466,false
84,-7.640175979622521,5.891110240366575,-792.6023074820201,false
85,-7.691396583024847,5.897325199186256,-787.6540067362611,false
86,-7.688026862795145,5.897325142422371,-789.1965709864864,false
87,-7.640069548047304,5.8907420669816055,-792.6782764836004,false
88,-7.685391013951045,5.8976002684653,-790.2742097563079,false
89,-7.685391069576328,5.899083658062864,-789.6005684945453,false
90,-7.685391143542142,5.90106150719973,-788.7005703623278,false
91,-7.641405505911932,5.899437879315846,-789.8708672948984,false
