Intersections_Entries,Latitude,Longitude,Altitude
0,44.50354436720028°,-89.85934453468391°,-3450.7792974422687
1,44.50271850731625°,-89.86070354173472°,-3467.634088014601
2,44.503212007778146°,-89.85989295481302°,-3457.5536293766427
3,44.501900024014056°,-89.8620371378873°,-3484.4099121694708
4,44.503558504322356°,-89.85864695863441°,-3450.817828924257
5,44.50350337027131°,-89.8582899734283°,-3452.155641073685
6,44.503611015692606°,-89.85898239739167°,-3449.5446771356665
7,44.50344534635503°,-89.8579097414241°,-3453.564506388787
8,44.503384093125916°,-89.8575043026091°,-3455.052770502556
9,44.50331959796157°,-89.85707168411169°,-3456.620372588435
10,44.48938100236666°,-89.87854069244406°,-3734.082431897963
11,44.50325144113673°,-89.85660949257951°,-3458.2778595992704
12,44.496163717631°,-89.8677761073849°,-3604.759997928259
13,44.502668687587004°,-89.85930191466002°,-3469.331882509322
14,44.502454805138164°,-89.86006391935753°,-3473.514516348228
15,44.50251438545012°,-89.85864695863157°,-3472.894009755377
16,44.501081468640244°,-89.8618031753808°,-3501.8958218032176
17,44.50234463312592°,-89.85791094036571°,-3476.8129094386204
18,44.50215679278939°,-89.85708089920975°,-3481.1477347367986
19,44.50194923226251°,-89.85614197860558°,-3485.9358233567614
20,44.501718865639226°,-89.85507622087583°,-3491.247117275347
21,44.501462922378884°,-89.85386295811611°,-3497.1431444381333
22,44.514815812033625°,-89.84277480091006°,-3225.802837491748
23,44.5166176987787°,-89.84732305844041°,-3184.585621570132
24,44.513466419152266°,-89.84843024284741°,-3249.2897606836373
25,44.52086832504129°,-89.84930407615639°,-3094.1657570319094
26,44.51545125227336°,-89.85052186562831°,-3206.1737610121554
27,44.512964146726596°,-89.85097661117938°,-3257.8107586040214
