Intersections_Entries,Latitude,Longitude,Altitude
0,25.26664659798971,153.1285047722903,-4763.7208959480395
1,25.266785407643592,153.12912171087504,-4761.475669739033
2,25.266815266562453,153.12963943994595,-4759.905434324758
3,25.26584821520055,153.12717228400103,-4770.358134864586
4,25.26687649839399,153.13063895653286,-4756.8592542015085
5,25.266907790387506,153.13112019344857,-4755.385015860125
6,25.266845733610783,153.13014530365385,-4758.3658623180645
7,25.266939283268336,153.13158884677705,-4753.945136320221
8,25.266971107422368,153.13204473482273,-4752.539699982615
9,25.267003140408075,153.13248777344214,-4751.1692068021775
10,25.26570349999134,153.12612484387122,-4773.816511468913
11,25.267035379581984,153.13291785519675,-4749.834041885247
12,25.266560037456866,153.1278847871144,-4765.7826117782915
13,25.26680402841936,153.13063895644672,-4757.12498449611
14,25.266707238830005,153.12868388234776,-4762.9953720750345
15,25.266771050036482,153.13000326371545,-4759.039892320988
16,25.26673875125252,153.12935138645517,-4760.997365425912
17,25.266837698765908,153.13125798221824,-4755.253659737302
18,25.26687201711343,153.13185987263182,-4753.427561037714
19,25.266906820771958,153.13244429095997,-4751.648376492067
20,25.266941971660593,153.13301103713547,-4749.917204920499
21,25.26656909223465,153.1278941638797,-4765.723408931719
22,25.266977484086546,153.1335598571725,-4748.234520476509
23,25.265443090223425,153.12418611332677,-4780.177375251085
24,25.266406674412703,153.12676233980244,-4769.498266599727
25,25.266675681705372,153.13063895643634,-4757.595561502774
26,25.266713723835977,153.13150559204874,-4755.011187643564
27,25.266603300845993,153.12883199905963,-4762.955373609651
28,25.266638794834826,153.12974733926453,-4760.24528761612
29,25.266752916735424,153.1323461459728,-4752.494680526105
30,25.26679296324864,153.1331598140532,-4750.04996120899
31,25.26605402750903,153.12411860764902,-4778.195657280748
32,25.266875456326066,153.1347035279995,-4745.384174556308
33,25.26683382887143,153.13394583478203,-4747.679007388156
34,25.26629197256178,153.12761731630067,-4767.505362726384
35,25.26633448195661,153.12914945881147,-4763.039340288337
36,25.26625248371787,153.1260469265698,-4772.065978161388
37,25.26637980349693,153.13063895641258,-4758.680763645186
38,25.26642773147675,153.13208182332062,-4754.441569389625
39,25.26647797857003,153.1334745596751,-4750.332504196047
40,25.26653032562069,153.13481413042527,-4746.362876642289
41,25.266584613552105,153.1360978099732,-4742.540892007535
42,25.264397888985368,153.11097223369435,-4820.6339864583115
43,25.264826738453213,153.11941816274364,-4795.661364648721
44,25.264765387999567,153.1169932016537,-4802.632873233871
45,25.264851817117833,153.126177470241,-4776.725802122243
46,25.264912434263273,153.13063895664433,-4764.062466430637
47,25.2649855265793,153.13496673212526,-4751.71610090828
48,25.264802920260628,153.1216176864668,-4789.612611725001
49,25.26507127545371,153.13912350143477,-4739.787702215715
50,25.2651697322797,153.143071617928,-4728.380404044599
51,25.265280581601946,153.14677467923946,-4717.595475952979
52,25.265403091593733,153.15019959229508,-4707.527648315334
53,25.26664028922881,153.13732416828125,-4738.873275359928
