Intersections_Entries,Latitude,Longitude,Altitude,Origin
0,70.56487469634952,-174.7295295517897,-2614.5795629415993,true
1,70.58218138390816,-174.6862685176143,-5241.423715918833,false
2,70.59201728874378,-174.7656745424182,-5254.871179090734,false
3,70.592018047018,-174.75661794206565,-5253.798489447729,false
4,70.59201835659577,-174.74756134899278,-5252.716199424595,false
5,70.59201821747865,-174.73850476368483,-5251.624309079393,false
6,70.59201762966772,-174.72944818662592,-5250.522818469026,false
7,70.59355944172377,-174.71988722315535,-5248.73110949082,false
8,70.59083233072592,-174.6862645447441,-5238.1139860294015,false
9,70.59598124616203,-174.76057764376472,-5253.643839262293,false
10,70.59598170648343,-174.75279158241702,-5252.717653812649,false
11,70.59748494484329,-174.72944227974457,-5249.656327274824,false
12,70.59598163237602,-174.7372194765988,-5250.8440022165105,false
13,70.59598183522141,-174.74500552659123,-5251.784374785172,false
14,70.60311943642411,-174.71989871969276,-5244.956868533316,false
15,70.599483257424,-174.68626056869869,-5234.7251643958,false
16,70.59896818453436,-174.76356303076716,-5253.515162516338,false
17,70.5989689936419,-174.7499067289343,-5251.890878509021,false
18,70.59896871658185,-174.75673487779255,-5252.705747674224,false
19,70.59896901571551,-174.74307858440505,-5251.070555044067,false
20,70.60040172149621,-174.7365451939452,-5250.04612594907,false
21,70.60563606745183,-174.72945593202144,-5247.348440817456,false
22,70.61267940141313,-174.71991022720454,-5241.086045397468,false
23,70.60813416347523,-174.6862565894743,-5231.257251707224,false
